,일시,year,month,평균기온(°C),평균상대습도(%),월합강수량(00~24h만)(mm),평균풍속(m/s),평균운량(1/10),합계 일사량(MJ/m2),전력사용량
77,2020-06-01,2020,6,23.6,79,199.9,1.6,6.5,592.22,685305904
78,2020-07-01,2020,7,23.4,91,533.3,1.5,8.7,394.45,723737539
79,2020-08-01,2020,8,27.6,89,738.1,2.2,6.6,501.73,785929551
80,2020-09-01,2020,9,21.3,85,178.3,1.5,6.3,441.01,810365666
81,2020-10-01,2020,10,15.7,64,12.1,1.2,4.6,477.99,644708555
82,2020-11-01,2020,11,10.5,63,28.3,1.4,4.8,320.91,681435087
83,2020-12-01,2020,12,2.7,62,18.7,1.4,4.8,299.96,734615424
84,2021-01-01,2021,1,1.4,71,33.0,1.5,5.7,304.64,811864417
85,2021-02-01,2021,2,5.1,59,31.1,1.5,4.8,356.28,767227407
86,2021-03-01,2021,3,10.6,65,122.4,1.5,5.0,524.59,697760777
87,2021-04-01,2021,4,14.9,52,34.2,1.4,5.1,622.29,696052225
88,2021-05-01,2021,5,18.4,68,139.4,1.4,5.8,617.85,659750505
89,2021-06-01,2021,6,23.3,76,118.1,1.3,6.1,603.21,713734602
90,2021-07-01,2021,7,27.0,82,227.6,1.5,6.6,566.24,790945617
91,2021-08-01,2021,8,25.8,88,338.7,1.3,7.0,466.53,876521082
92,2021-09-01,2021,9,22.9,84,131.1,1.5,7.1,389.17,781758101
93,2021-10-01,2021,10,17.2,77,35.3,1.2,4.4,439.7,705603738
94,2021-11-01,2021,11,10.2,78,85.8,1.0,4.7,310.83,710813620
95,2021-12-01,2021,12,4.1,71,7.1,1.2,4.4,288.88,761414432
96,2022-01-01,2022,1,1.6,59,0.3,1.2,4.8,327.51,825882846
97,2022-02-01,2022,2,1.8,56,2.7,1.5,4.7,395.79,788536591
98,2022-03-01,2022,3,9.6,68,105.2,1.4,5.4,434.2,735401195
99,2022-04-01,2022,4,15.5,60,49.4,1.4,4.3,647.3,712892007
100,2022-05-01,2022,5,19.3,59,0.4,1.3,3.9,770.49,672419479
101,2022-06-01,2022,6,23.8,83,131.7,1.9,6.5,570.73,717565017
102,2022-07-01,2022,7,27.0,88,169.0,1.5,6.6,552.07,838798578
103,2022-08-01,2022,8,26.9,90,106.4,1.8,7.3,454.3,892014835
104,2022-09-01,2022,9,23.1,77,89.2,1.5,6.2,483.16,806887743
105,2022-10-01,2022,10,16.0,65,38.3,1.1,4.0,459.57,691579483
106,2022-11-01,2022,11,11.8,62,46.7,1.0,3.9,336.75,690524525
107,2022-12-01,2022,12,1.1,63,30.6,1.2,5.0,275.78,744368423
