瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),乞闭惑措嚼档(%),岿钦碍荐樊(00~24h父)(mm),乞闭浅加(m/s),乞闭款樊(1/10),钦拌 老炼矫埃(hr)
156,堡林,2016-01,.9,69,49.7,1.5,6,145.1
156,堡林,2016-02,3.3,60,45.2,1.8,4.5,178.9
156,堡林,2016-03,8.4,60,55.2,1.7,4.1,229.4
156,堡林,2016-04,15.5,66,185,1.8,5.8,200.9
156,堡林,2016-05,19.8,65,104.5,1.8,5.2,256.8
156,堡林,2016-06,23,80,116.1,1.6,7,138.4
156,堡林,2016-07,26.9,84,301.3,1.9,6.6,193.7
156,堡林,2016-08,27.8,79,81,1.4,4.1,236.3
156,堡林,2016-09,23,83,251.2,1.5,6.8,135.1
156,堡林,2016-10,17.2,79,216.7,1.5,6.7,105.6
156,堡林,2016-11,9.6,69,31.5,1.5,4.6,173.8
156,堡林,2016-12,4.7,69,44.9,1.5,5.1,150.2
156,堡林,2017-01,2,66,11.7,1.6,4.7,177.7
156,堡林,2017-02,2.9,60,41.9,1.6,4.3,192.2
156,堡林,2017-03,7.4,57,33.2,1.5,4.8,221
156,堡林,2017-04,15.1,60,60.6,1.9,4.4,250.7
156,堡林,2017-05,19.8,62,30.2,1.4,4.1,274.5
156,堡林,2017-06,23.1,68,42.1,1.5,5.5,221.7
156,堡林,2017-07,27.8,89,211.6,1.8,7.4,120.5
156,堡林,2017-08,27,83,280.5,1.6,5.8,189.7
156,堡林,2017-09,22.4,76,108.8,1.5,5.1,186.7
156,堡林,2017-10,17,75,85.4,1.5,5,183.4
156,堡林,2017-11,8.8,64,2.1,1.3,3.8,201
156,堡林,2017-12,1.9,64,28.5,1.5,5.2,157.3
156,堡林,2018-01,-.2,67,38.8,1.5,4.7,170.4
156,堡林,2018-02,1.8,54,22,1.6,4.8,172.7
156,堡林,2018-03,10,72,115.8,1.8,4.9,200
156,堡林,2018-04,15.1,67,127.4,1.7,4.7,218.2
156,堡林,2018-05,19.5,74,85.4,1.6,5.9,189
156,堡林,2018-06,23.6,74,222.4,1.5,6,204.9
156,堡林,2018-07,28.3,79,84.5,1.7,4.7,234.3
156,堡林,2018-08,28.4,78,397.1,2,6,229
156,堡林,2018-09,21.6,78,129.7,1.5,6.2,159.3
156,堡林,2018-10,14.5,72,125.2,1.4,4,225.7
156,堡林,2018-11,9.9,70,47.2,1,3.8,197.1
156,堡林,2018-12,3.2,62,32.4,1.7,5.2,171.9
156,堡林,2019-01,1.8,59,16.4,1.4,4.1,212.7
156,堡林,2019-02,3.6,58,37,1.5,5.8,165.6
156,堡林,2019-03,8.4,61,33.9,1.7,4.8,212
156,堡林,2019-04,13,67,84.7,1.5,5.8,174
156,堡林,2019-05,19.2,58,78.8,1.6,4.4,289.3
156,堡林,2019-06,22,79,158,1.3,6,196.8
156,堡林,2019-07,25.3,84,242.2,1.8,7.4,140.5
156,堡林,2019-08,27,80,64.8,1.5,6.4,192.2
156,堡林,2019-09,22.9,82,165.8,1.6,6.5,145.8
156,堡林,2019-10,17.1,74,149.9,1.2,4.7,205.7
156,堡林,2019-11,10.8,66,22.8,1.2,4.1,187.5
156,堡林,2019-12,4.8,62,31.6,1.3,5.2,168
156,堡林,2020-01,4.6,68,74.9,1.4,6.3,136.5
156,堡林,2020-02,5.3,67,47.8,1.4,4.9,177
156,堡林,2020-03,9,58,43.5,1.7,4,242
156,堡林,2020-04,11.5,52,55.3,1.8,3.3,278.1
156,堡林,2020-05,18.8,73,96.8,1.7,6.1,211.3
156,堡林,2020-06,23.6,79,199.9,1.6,6.5,191.4
156,堡林,2020-07,23.4,91,533.3,1.5,8.7,69.5
156,堡林,2020-08,27.6,89,738.1,2.2,6.6,169.8
156,堡林,2020-09,21.3,85,178.3,1.5,6.3,158.7
156,堡林,2020-10,15.7,64,12.1,1.2,4.6,227.6
156,堡林,2020-11,10.5,63,28.3,1.4,4.8,176.7
156,堡林,2020-12,2.7,62,18.7,1.4,4.8,186.5
156,堡林,2021-01,1.4,71,33,1.5,5.7,164.3
156,堡林,2021-02,5.1,59,31.1,1.5,4.8,175.3
156,堡林,2021-03,10.6,65,122.4,1.5,5,220.5
156,堡林,2021-04,14.9,52,34.2,1.4,5.1,230.4
156,堡林,2021-05,18.4,68,139.4,1.4,5.8,212.8
156,堡林,2021-06,23.3,76,118.1,1.3,6.1,200.6
156,堡林,2021-07,27,82,227.6,1.5,6.6,182.3
156,堡林,2021-08,25.8,88,338.7,1.3,7,141.7
156,堡林,2021-09,22.9,84,131.1,1.5,7.1,124.8
156,堡林,2021-10,17.2,77,35.3,1.2,4.4,211.5
156,堡林,2021-11,10.2,78,85.8,1,4.7,176.5
156,堡林,2021-12,4.1,71,7.1,1.2,4.4,174.2
156,堡林,2022-01,1.6,59,.3,1.2,4.8,184.8
156,堡林,2022-02,1.8,56,2.7,1.5,4.7,198.6
156,堡林,2022-03,9.6,68,105.2,1.4,5.4,169.3
156,堡林,2022-04,15.5,60,49.4,1.4,4.3,256.9
156,堡林,2022-05,19.3,59,.4,1.3,3.9,297.9
156,堡林,2022-06,23.8,83,131.7,1.9,6.5,166
156,堡林,2022-07,27,88,169,1.5,6.6,181.3
156,堡林,2022-08,26.9,90,106.4,1.8,7.3,129.3
156,堡林,2022-09,23.1,77,89.2,1.5,6.2,175.9
156,堡林,2022-10,16,65,38.3,1.1,4,234.3
156,堡林,2022-11,11.8,62,46.7,1,3.9,200.4
156,堡林,2022-12,1.1,63,30.6,1.2,5,167.5
