,일시,year,month,평균기온(°C),평균상대습도(%),월합강수량(00~24h만)(mm),평균풍속(m/s),평균운량(1/10),합계 일사량(MJ/m2),전력사용량
0,2018-01-01,2018,1,-0.2,67,38.8,1.5,4.7,292.12,807535917
1,2018-02-01,2018,2,1.8,54,22.0,1.6,4.8,352.83,798506369
2,2018-03-01,2018,3,10.0,72,115.8,1.8,4.9,445.57,698659795
3,2018-04-01,2018,4,15.1,67,127.4,1.7,4.7,579.66,685492936
4,2018-05-01,2018,5,19.5,74,85.4,1.6,5.9,581.84,648944709
5,2018-06-01,2018,6,23.6,74,222.4,1.5,6.0,630.27,688052097
6,2018-07-01,2018,7,28.3,79,84.5,1.7,4.7,660.92,753263260
7,2018-08-01,2018,8,28.4,78,397.1,2.0,6.0,590.22,893914829
8,2018-09-01,2018,9,21.6,78,129.7,1.5,6.2,461.03,765903998
9,2018-10-01,2018,10,14.5,72,125.2,1.4,4.0,456.15,644126666
10,2018-11-01,2018,11,9.9,70,47.2,1.0,3.8,335.3,672599955
11,2018-12-01,2018,12,3.2,62,32.4,1.7,5.2,284.78,716810703
12,2019-01-01,2019,1,1.8,59,16.4,1.4,4.1,340.78,801473294
13,2019-02-01,2019,2,3.6,58,37.0,1.5,5.8,359.82,741798539
14,2019-03-01,2019,3,8.4,61,33.9,1.7,4.8,520.96,682608470
15,2019-04-01,2019,4,13.0,67,84.7,1.5,5.8,499.58,706906711
16,2019-05-01,2019,5,19.2,58,78.8,1.6,4.4,750.55,653101920
17,2019-06-01,2019,6,22.0,79,158.0,1.3,6.0,607.69,673982642
18,2019-07-01,2019,7,25.3,84,242.2,1.8,7.4,504.72,726580978
19,2019-08-01,2019,8,27.0,80,64.8,1.5,6.4,549.91,821995398
20,2019-09-01,2019,9,22.9,82,165.8,1.6,6.5,417.03,756642371
21,2019-10-01,2019,10,17.1,74,149.9,1.2,4.7,430.67,663822053
22,2019-11-01,2019,11,10.8,66,22.8,1.2,4.1,337.05,663133327
23,2019-12-01,2019,12,4.8,62,31.6,1.3,5.2,242.93,711251294
24,2020-01-01,2020,1,4.6,68,74.9,1.4,6.3,264.36,756531697
25,2020-02-01,2020,2,5.3,67,47.8,1.4,4.9,346.78,740068227
26,2020-03-01,2020,3,9.0,58,43.5,1.7,4.0,568.48,696886117
27,2020-04-01,2020,4,11.5,52,55.3,1.8,3.3,686.9,660659042
28,2020-05-01,2020,5,18.8,73,96.8,1.7,6.1,619.38,610865447
29,2020-06-01,2020,6,23.6,79,199.9,1.6,6.5,592.22,685305904
30,2020-07-01,2020,7,23.4,91,533.3,1.5,8.7,394.45,723737539
31,2020-08-01,2020,8,27.6,89,738.1,2.2,6.6,501.73,785929551
32,2020-09-01,2020,9,21.3,85,178.3,1.5,6.3,441.01,810365666
33,2020-10-01,2020,10,15.7,64,12.1,1.2,4.6,477.99,644708555
34,2020-11-01,2020,11,10.5,63,28.3,1.4,4.8,320.91,681435087
35,2020-12-01,2020,12,2.7,62,18.7,1.4,4.8,299.96,734615424
36,2021-01-01,2021,1,1.4,71,33.0,1.5,5.7,304.64,811864417
37,2021-02-01,2021,2,5.1,59,31.1,1.5,4.8,356.28,767227407
38,2021-03-01,2021,3,10.6,65,122.4,1.5,5.0,524.59,697760777
39,2021-04-01,2021,4,14.9,52,34.2,1.4,5.1,622.29,696052225
40,2021-05-01,2021,5,18.4,68,139.4,1.4,5.8,617.85,659750505
41,2021-06-01,2021,6,23.3,76,118.1,1.3,6.1,603.21,713734602
42,2021-07-01,2021,7,27.0,82,227.6,1.5,6.6,566.24,790945617
43,2021-08-01,2021,8,25.8,88,338.7,1.3,7.0,466.53,876521082
44,2021-09-01,2021,9,22.9,84,131.1,1.5,7.1,389.17,781758101
45,2021-10-01,2021,10,17.2,77,35.3,1.2,4.4,439.7,705603738
46,2021-11-01,2021,11,10.2,78,85.8,1.0,4.7,310.83,710813620
47,2021-12-01,2021,12,4.1,71,7.1,1.2,4.4,288.88,761414432
48,2022-01-01,2022,1,1.6,59,0.3,1.2,4.8,327.51,825882846
49,2022-02-01,2022,2,1.8,56,2.7,1.5,4.7,395.79,788536591
50,2022-03-01,2022,3,9.6,68,105.2,1.4,5.4,434.2,735401195
51,2022-04-01,2022,4,15.5,60,49.4,1.4,4.3,647.3,712892007
52,2022-05-01,2022,5,19.3,59,0.4,1.3,3.9,770.49,672419479
53,2022-06-01,2022,6,23.8,83,131.7,1.9,6.5,570.73,717565017
54,2022-07-01,2022,7,27.0,88,169.0,1.5,6.6,552.07,838798578
55,2022-08-01,2022,8,26.9,90,106.4,1.8,7.3,454.3,892014835
56,2022-09-01,2022,9,23.1,77,89.2,1.5,6.2,483.16,806887743
57,2022-10-01,2022,10,16.0,65,38.3,1.1,4.0,459.57,691579483
58,2022-11-01,2022,11,11.8,62,46.7,1.0,3.9,336.75,690524525
59,2022-12-01,2022,12,1.1,63,30.6,1.2,5.0,275.78,744368423
