瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),老碍荐樊(mm),乞闭 浅加(m/s),乞闭 惑措嚼档(%),钦拌 老荤樊(MJ/m2),乞闭 傈款樊(1/10),乞闭 瘤搁柯档(∑C)
156,堡林,2022-12-02,2.2,,1.4,43.6,13.07,3.1,2.7
156,堡林,2022-12-03,5.6,,.7,60.9,6.4,8.3,6
156,堡林,2022-12-04,2.4,,2.7,36.1,8.78,6.9,4.7
156,堡林,2022-12-05,.7,,2.6,30,10.14,4.4,2.2
156,堡林,2022-12-06,3.3,0,.9,44.4,10.55,4.4,2.6
156,堡林,2022-12-07,5.5,,.8,53.8,11.77,1.4,3.3
156,堡林,2022-12-08,6.5,,.6,55.1,11.37,5.1,4.7
156,堡林,2022-12-09,7.4,,.7,62.4,6.98,4.9,5.8
156,堡林,2022-12-10,5.1,0,1.1,66.3,4.73,6.3,3.6
156,堡林,2022-12-11,5.1,,1.4,50.1,11.91,2,5
156,堡林,2022-12-12,3.8,0,.7,66,5.82,7.4,2.8
156,堡林,2022-12-13,5.1,.5,2,57.9,6.66,7,4
156,堡林,2022-12-14,-2.3,1.7,2,63.9,12.13,3,2.3
156,堡林,2022-12-15,1.3,.1,1.1,61.3,10.98,6.3,2.5
156,堡林,2022-12-16,.4,0,1.9,39.9,8.64,8.1,2.3
156,堡林,2022-12-17,-2.2,2.9,1.9,57.6,5.56,6.3,-.3
156,堡林,2022-12-18,-5,4.6,1.2,72.8,6.08,5.6,.5
156,堡林,2022-12-19,-2.9,.1,.9,74.6,9.43,3.8,.5
156,堡林,2022-12-20,.8,,.6,74.4,12.47,3,.1
156,堡林,2022-12-21,2.6,4.2,.5,90.4,3.28,8.1,2.7
156,堡林,2022-12-22,-1.5,2.5,1.6,78.4,2.94,8.3,.4
156,堡林,2022-12-23,-4.1,13.9,1.3,88.4,1.32,8,.4
156,堡林,2022-12-24,-5,.1,1.2,75.8,7.5,3.4,.4
156,堡林,2022-12-25,-2.7,,1,76.9,9.7,4.1,.4
156,堡林,2022-12-26,-.6,,.8,78.8,10.04,2.6,.4
156,堡林,2022-12-27,.3,,.9,74.1,13.08,1.8,.7
156,堡林,2022-12-28,-.2,,.9,75.4,9.62,5.3,.6
156,堡林,2022-12-29,.7,,1.1,63.3,12.25,2.1,.3
156,堡林,2022-12-30,1,,.4,70.4,9.25,6.3,.2
156,堡林,2022-12-31,1.4,,.7,66.1,12.02,1.4,.1
